Date,JPM,GS,BAC,XOM,CVX,SLB,GE,CAT,MMM,JNJ,PFE,MRK,MSFT,INTC,CSCO,AMZN,HD,F,PG,KO,PEP,SPG,PSA,EQR,T,VZ,CMCSA,DD,SHW,DUK,SO,EXC
7/1/2020,81.84751892,176.151947,21.1208477,35.96144104,72.5353241,16.71216583,33.31867218,114.2218552,108.0577774,123.0653229,25.13802338,63.79328537,195.3379517,53.33504105,40.04298782,137.9409943,223.4766998,4.798233032,105.7161407,38.66594315,115.2009811,51.534832,156.8567505,49.11936188,15.88790703,41.32342911,34.40031433,48.56739807,184.7533722,65.99086761,43.02812195,21.8471756
8/1/2020,84.91200256,176.4550323,22.12575912,33.83850098,68.23505402,16.48497581,29.61118126,120.8812103,104.2339478,127.5545883,29.87049294,66.19389343,196.7777252,42.54857635,40.75645828,158.2339935,236.8401489,5.216499329,116.6594696,40.8813591,119.9044418,47.9387207,163.3879852,44.78530121,15.90580177,43.56874084,37.77151489,49.15293884,207.1565552,69.99707794,45.31853104,23.24385834
9/1/2020,88.03118134,183.7199554,22.89055061,32.75123596,69.2105484,17.27560234,30.92831802,129.459671,113.9554977,135.1426544,29.33488083,70.34336853,216.9970093,45.72748566,36.53370667,172.5480042,254.2805176,5.382228851,123.0743408,42.86310959,121.9949265,52.16747665,173.6222382,47.14022064,16.02947998,44.92552948,39.54536057,51.24845886,214.9849548,67.130867,43.81169128,22.44247246
10/1/2020,84.58688354,180.2226105,21.57244492,28.15097809,59.37280655,14.23396015,30.44193649,135.6820526,111.9702301,131.1520691,28.48875618,68.92718506,202.3721161,46.47240448,34.08486176,157.4364929,249.0479279,5.255959511,123.6615372,43.07050323,121.5913162,49.73017502,183.723877,43.37495422,15.33044147,45.09227753,40.82499313,50.99111938,223.2153015,73.99935913,45.52452087,21.74323463
11/1/2020,86.9414444,169.5241852,21.22320175,26.74875259,57.31123734,13.66679478,36.25668716,143.741333,111.8164825,120.783577,27.54171753,62.49564743,194.8095093,39.74118423,31.35144043,151.8074951,239.1832581,6.100385666,122.6572876,41.92765427,116.9329224,49.19273376,188.9620514,39.69911575,14.88506985,43.65726471,37.46540833,52.27785492,220.408783,76.96570587,48.23651123,24.2544117
12/1/2020,104.5354691,206.7757721,25.21710396,32.02136993,72.94837189,19.01825333,49.74300385,158.8797302,121.7875595,128.3377838,31.66676712,66.79994202,206.5098724,43.70962143,37.56932831,158.4019928,248.7789001,7.165782452,124.2408218,45.36891937,126.5304031,64.66874695,185.1592407,48.94364929,15.83811378,46.27716064,44.56113052,58.5778923,239.9609528,78.20078278,50.76307678,25.19790459
1/1/2021,112.6851044,237.7745209,27.31158066,34.61633682,70.66402435,20.09041595,52.82109451,166.5953369,123.2399979,139.603302,30.42687798,68.50835419,214.5649414,45.0385437,39.08013916,162.8464966,239.5045929,6.936920166,124.4823761,48.21766663,131.0278015,67.8447113,192.2435303,50.61048889,15.84362221,45.00550842,46.47696686,65.66004944,235.8782959,77.2723999,52.10319519,25.90346718
2/1/2021,114.9257202,244.5008392,26.71687508,37.65639496,71.29160309,20.44013214,52.23418427,168.2362061,123.8534241,144.7038116,29.99749756,64.54694366,223.7680664,50.18244171,39.24741364,160.3099976,244.1933746,8.310099602,115.3956604,42.33552933,120.6639786,73.93067932,189.4880524,52.62534332,16.14360237,42.39030838,44.16798019,73.36088562,222.0416107,79.33167267,49.97428513,25.49853516
3/1/2021,131.4496155,288.0595703,31.2763195,46.43505096,84.85839081,25.80641365,61.33115005,198.6372375,124.4475021,141.4377899,27.98373985,60.82001495,224.6895142,55.28018188,39.50271988,154.6464996,232.9403534,9.233440399,111.1834183,43.07409668,114.1435242,89.83376312,194.7492828,55.84399796,15.72634125,42.81614685,46.97469711,65.21108246,218.8999176,72.98568726,48.61597061,23.68247414
4/1/2021,135.9690857,295.9981995,35.03575897,47.6819725,88.92310333,25.14068222,64.26409149,213.3500977,136.9732971,146.6950836,30.27323532,65.13095093,227.9673309,58.20880508,45.52452087,154.7039948,276.9630127,9.66749382,121.8940277,46.73063278,125.973526,90.50996399,207.1260529,61.67004395,17.06835175,45.02276611,48.2132225,71.66543579,237.455307,82.31461334,53.27871323,27.09700012
5/1/2021,138.1894531,315.4145508,36.70195389,48.88619232,87.46352386,25.01123238,64.21515656,210.8391876,140.1438446,145.2490692,32.29536057,62.94274139,243.8342743,52.32426071,45.14155197,173.3710022,293.6760254,9.107172966,120.8532181,47.85655975,128.3870239,97.93864441,236.0008545,63.908535,18.11437798,45.22541809,50.26019287,71.50777435,264.3537292,85.86199951,56.71577072,27.8404007
